working_id,equipment,name_en_normalized,name_ko_candidate,body_part_ko,recording_type,qa_status
gvs_e02b5a52dbee691c,Dumbbell,Dumbbell Side Plank Raise,덤벨 사이드 플랭크 레이즈,코어,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_418c8e95de826d89,Dumbbell,Dumbbell Single Arm Underhand Front Raise,덤벨 원암 언더핸드 프론트 레이즈,어깨,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_54c026b6fb54ef4c,Dumbbell,Dumbbell Standing Bent Arm Lateral Raise,덤벨 스탠딩 벤트 암 레터럴 레이즈,어깨,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_cef9cb7659371618,Dumbbell,Dumbbell Svend Press,덤벨 스벤드 프레스,가슴,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_129f2d80dea319be,Dumbbell,Dumbbell Thruster,덤벨 스러스터,하체,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_8444f341e5a40af5,Dumbbell,Dumbbell Underhand Renegade Row,덤벨 언더핸드 레니게이드 로우,코어,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_734060594c5b1a09,Kettlebell,Kettlebell Clean Grip Reverse Lunge,케틀벨 클린 그립 리버스 런지,하체,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_676e079f1e1eead7,Kettlebell,Kettlebell Cossack Squat,케틀벨 코사크 스쿼트,하체,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_aa8ba55e369d51ac,Kettlebell,Kettlebell Double Jerk,케틀벨 더블 저크,어깨,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_290dbe89e24c5681,Kettlebell,Kettlebell Double Push Press,케틀벨 더블 푸시 프레스,어깨,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_fa7987a1a02e21e9,Kettlebell,Kettlebell Double Snatch,케틀벨 더블 스내치,어깨,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_2a0d50c9ec74ed59,Kettlebell,Kettlebell Lateral Lunge,케틀벨 래터럴 런지,하체,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_1a7607c7862b5c17,Kettlebell,Kettlebell Lateral Step Up,케틀벨 래터럴 스텝업,하체,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_493865bbcc47c08b,Kettlebell,Kettlebell Lying Rear Delt Row,케틀벨 라잉 리어 델트 로우,어깨,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_9a0a0b28e7984d22,Kettlebell,Kettlebell Seated Two Arm Military Press,케틀벨 시티드 투암 밀리터리 프레스,어깨,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_d1cc50e8cde89462,Kettlebell,Kettlebell Swing Clean Grip Front Squat,케틀벨 스윙 클린 그립 프론트 스쿼트,하체,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_1058e6f9eccef0dd,Kettlebell,Kettlebell Thruster,케틀벨 스러스터,어깨,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_2769af26a383741c,Kettlebell,Kettlebell Two Arm Clean,케틀벨 투암 클린,어깨,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_7c67305a8cdb76d8,Kettlebell,Kettlebell Two Arm Military Press,케틀벨 투암 밀리터리 프레스,어깨,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_7722aa0aebfff280,Kettlebell,Kettlebell Two Arm Row,케틀벨 투암 로우,등,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_d12f92d6479eeaf8,Landmine,Landmine Kneeling Thruster Press,랜드마인 닐링 스러스터 프레스,어깨,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_8c9508f391103983,Machine,Machine Bicep Curl,머신 바이셉 컬,팔,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_c1545092379bb128,Machine,Machine Bulgarian Split Squat (Plate Loaded),머신 불가리안 스플릿 스쿼트 플레이트 로드,하체,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_93cc706ef570d2d4,Machine,Machine Lying Leg Raise Bent Knee,머신 라잉 레그 레이즈 벤트 니,코어,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_257585783a63c016,Machine,Machine Pronated Grip Seated Row (Plate Loaded),머신 프로네이티드 그립 시티드 로우 플레이트 로드,등,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_c87e614e3050a29c,Machine,Machine Seated Leg Raise Crunch (Plate Loaded),머신 시티드 레그 레이즈 크런치 플레이트 로드,코어,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_f0a63d0f53de5ddf,Machine,Machine Side Seated Single Arm Rear Delt Fly,머신 사이드 시티드 원암 리어 델트 플라이,어깨,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_18071cd0570beb9e,Machine,Machine Single Arm Lateral High Row,머신 원암 래터럴 하이 로우,등,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_da557a687bea23ce,Smith Machine,Smith Machine Bicep Curl,스미스 머신 바이셉 컬,팔,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_6aa368f5b62f7941,Smith Machine,Smith Machine Incline Tricep Extension,스미스 머신 인클라인 트라이셉 익스텐션,팔,weight_reps,PROMOTE_HIGH_CONFIDENCE
gvs_157057b262de73a0,Dumbbell,Weighted Dumbbell Lying Knee Raise,웨이티드 덤벨 라잉 니 레이즈,코어,weight_reps,PROMOTE_HIGH_CONFIDENCE
