working_id,name_en_normalized,before_body_part_ko,before_primary_muscles_ko,before_secondary_muscles_ko,after_body_part_ko,after_primary_muscles_ko,after_secondary_muscles_ko,resolution_method,resolution_note
gvs_cd027509ae6d9a41,Cable Standing Single Delt Row,어깨,등 상부 / 광배근,이두근,어깨,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_761d55fc89d5aaee,Cable Upright Row,어깨,등 상부 / 광배근,이두근,어깨,측면 삼각근 / 승모근,이두근,FIX_UPRIGHT_ROW,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_5fa686a943f22505,Captains Chair Leg Raise,하체,복직근,,코어,복직근,장요근,FIX_CORE_LEG_RAISE,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_75e775e7ab412017,Celebratory Hip Thrust,코어,둔근,햄스트링,하체,둔근,햄스트링,FIX_HIP_THRUST,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_d4a066a5cca87205,Chest Dip (On Dip Pull Up Cage),가슴,광배근,이두근 / 승모근,가슴,대흉근,삼두근 / 전면 삼각근,FIX_CHEST_DIP,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_0ce8db48c195722a,Dumbbell Bent Over Reverse Fly To Hammer Curl,가슴,이두근,,어깨,후면 삼각근,승모근 / 능형근,FIX_REAR_DELT,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_ddb8773c53f85bde,Dumbbell Bent Over Wide Row,어깨,등 상부 / 광배근,이두근,어깨,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_93322c4dd6bfe0e9,Dumbbell Change Lateral Raise Curtsey Lunge,어깨,대퇴사두근,둔근,어깨,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_1cd50cf4eb596b32,Dumbbell Deadlift,등,둔근 / 햄스트링,등 / 코어,등,척추기립근 / 둔근 / 햄스트링,코어,FIX_COMPOUND_DEADLIFT,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_9c55d1ff5d32f117,Dumbbell Deadlift 360 Degrees,등,둔근 / 햄스트링,등 / 코어,등,척추기립근 / 둔근 / 햄스트링,코어,FIX_COMPOUND_DEADLIFT,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_6f080cd7fb90b4f7,Dumbbell Deep Push Up And Renegade Row,가슴,등 상부 / 광배근,이두근,가슴,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_acc479a1eacec6f9,Dumbbell Glute Bridge Chest Press,가슴,둔근,햄스트링,가슴,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_ad71d2d90e2013fd,Dumbbell Glute Bridge Single Arm Chest Press,가슴,둔근,햄스트링,가슴,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_fea6abe0775b4356,Dumbbell Glute Bridge Skull Crusher,팔,둔근,햄스트링,팔,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_b5a7efb485cad476,Dumbbell Ipsilateral Glute Bridge Single Arm Chest,가슴,둔근,햄스트링,가슴,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_944abce23b8982c4,Dumbbell Lateral Raise Plank,코어,측면 삼각근,,코어,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_84e8e3fa57eea474,Dumbbell Lunge With Bicep Curl,팔,대퇴사두근,둔근,팔,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_3d14f046108261e0,Dumbbell Lying Rear Delt Row,등,후면 삼각근,,어깨,후면 삼각근,승모근 / 능형근,FIX_REAR_DELT,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_4ebe1b6bc3090b63,Dumbbell Military Press Russian Twist With Legs Floor Off,코어,삼각근,삼두근,코어,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_8da4150b9174fa03,Dumbbell Plank Row,코어,등 상부 / 광배근,이두근,코어,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_abcf7113dd24131b,Dumbbell Press Squat Thighs,가슴,대퇴사두근,둔근,가슴,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_cbc28756939a7064,Dumbbell Renegade Row On Stability Ball,코어,등 상부 / 광배근,이두근,코어,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_8a96b597146f5977,Dumbbell Renegade Row Walk,코어,등 상부 / 광배근,이두근,코어,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_cbd9b0e44645ef4a,Dumbbell Russian Twist Boat Row,코어,등 상부 / 광배근,이두근,코어,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_6ae4ffa3bd828603,Dumbbell Seated Military Press In Out Leg Raise On Floor,코어,삼각근,삼두근,코어,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_642c1a6938e3d7d1,Dumbbell Side Plank Row,코어,등 상부 / 광배근,이두근,코어,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_e882589244fe0da4,Dumbbell Single Arm Reverse Fly (Rack Support),등,후면 삼각근,,어깨,후면 삼각근,승모근 / 능형근,FIX_REAR_DELT,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_73257b3ccb2a693e,Dumbbell Single Arm Upright Row,어깨,등 상부 / 광배근,이두근,어깨,측면 삼각근 / 승모근,이두근,FIX_UPRIGHT_ROW,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_15a580fedd719c1c,Dumbbell Standing Hammer Curl To Press,어깨,이두근,,어깨,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_8444f341e5a40af5,Dumbbell Underhand Renegade Row,코어,등 상부 / 광배근,이두근,코어,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_e3527d1afe8b8f0c,Dumbbell Upright Row,어깨,등 상부 / 광배근,이두근,어깨,측면 삼각근 / 승모근,이두근,FIX_UPRIGHT_ROW,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_0740bfa02e47b15e,Dumbbell Wood Chop Squat,코어,대퇴사두근,둔근,코어,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_f557f3d824be4176,EZ Bar Close Grip Bench Press,팔,대흉근,삼두근 / 전면 삼각근,팔,삼두근,대흉근 / 전면 삼각근,FIX_CLOSE_GRIP_PRESS,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_884757bdd47af355,EZ Bar Standing Upright Row,어깨,등 상부 / 광배근,이두근,어깨,측면 삼각근 / 승모근,이두근,FIX_UPRIGHT_ROW,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_bf2abab12b9c58a5,EZ Barbell Jm Bench Press,팔,대흉근,삼두근 / 전면 삼각근,팔,삼두근,대흉근 / 전면 삼각근,FIX_CLOSE_GRIP_PRESS,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_32a5b2bb0a16856b,Finger Raises Plank,팔,코어,,팔,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_45d7bfc4efdc26b6,Forward Step Front Plank,하체,코어,,하체,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_5122a04b64328373,Front Plank On Elbow Toe Tap,하체,코어,,하체,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_3b3d6bfcbc9d68ae,Front Plank To Toe Tap,하체,코어,,하체,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_9db7447e0d90d7cc,Front Plank With Leg Lift,하체,코어,,하체,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_4ce7eadb5a9f254b,Half Plyo Squat Twist,코어,대퇴사두근,둔근,코어,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_e6ba74db932341e3,Half Squat Side Bend,코어,대퇴사두근,둔근,코어,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_261e7c1e73fe4668,Half Squat Side Reach,코어,대퇴사두근,둔근,코어,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_c5580b50fc5f76e6,Half Squat Torso Punches,코어,대퇴사두근,둔근,코어,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_ff5d467cd8f52f5e,Hanging Straight Leg Raise,하체,복직근,,코어,복직근,장요근,FIX_CORE_LEG_RAISE,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_2768ec664627f204,Kettlebell Lunge With Twist Thighs,코어,대퇴사두근,둔근,코어,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_493865bbcc47c08b,Kettlebell Lying Rear Delt Row,등,후면 삼각근,,어깨,후면 삼각근,승모근 / 능형근,FIX_REAR_DELT,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_75959376308ae48c,Kettlebell Single Arm Overhead Squat Thighs,어깨,대퇴사두근,둔근,어깨,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_c48c432d76134405,Kettlebell Upright Row,어깨,등 상부 / 광배근,이두근,어깨,측면 삼각근 / 승모근,이두근,FIX_UPRIGHT_ROW,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_a0c5ae366c9be3d8,Kettlebell Wide Upright Row,어깨,등 상부 / 광배근,이두근,어깨,측면 삼각근 / 승모근,이두근,FIX_UPRIGHT_ROW,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_e17f6f3e4a58f328,Knee Raise,하체,복직근,,코어,복직근,장요근,FIX_CORE_LEG_RAISE,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_57b2cac0c4e9f5b6,Kneeling Leg Raise,하체,복직근,,하체,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_2865694e2d187034,L Pull Up Back,코어,광배근,이두근 / 승모근,등,광배근,이두근 / 승모근,FIX_PULL_UP,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_46400fa2695d29a0,Leg Extension Crunch (With Stability Ball),코어,대퇴사두근,,코어,복직근,대퇴사두근 / 장요근,FIX_CRUNCH_COMPOUND_CORE,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_c78ff533db2873ab,Leg Extension Plank,코어,대퇴사두근,,코어,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_0c5a1bfd93493ee9,Leg Extension Star Crunch,코어,대퇴사두근,,코어,복직근,대퇴사두근 / 장요근,FIX_CRUNCH_COMPOUND_CORE,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_7c5ff1a848b73b02,Lunge With Twist Thighs,코어,대퇴사두근,둔근,코어,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_17770eb225104630,Lying Butterfly Leg Raise,하체,복직근,,코어,복직근,장요근,FIX_CORE_LEG_RAISE,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_5f64bc2c9130810e,Lying Frog Crunch,하체,복직근,,코어,복직근,장요근,FIX_FROG_CRUNCH,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_4fce05a3cfb62e93,Lying Full Leg Raise,하체,복직근,,코어,복직근,장요근,FIX_CORE_LEG_RAISE,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_434647948b256062,Lying Hip Straight Leg Raise,하체,복직근,,코어,복직근,장요근,FIX_CORE_LEG_RAISE,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_a475c0990f5da185,Lying Leg Extension,코어,대퇴사두근,,코어,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_1d4761b368e4dcdb,Lying Leg Raise (Modified),하체,복직근,,코어,복직근,장요근,FIX_CORE_LEG_RAISE,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_6abdefc98b9a794d,Lying Leg Raise And Hold,하체,복직근,,코어,복직근,장요근,FIX_CORE_LEG_RAISE,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_ed9fbb23ffd3709b,Lying Reverse Frog Crunch,하체,복직근,,코어,복직근,장요근,FIX_FROG_CRUNCH,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_93cc706ef570d2d4,Machine Lying Leg Raise Bent Knee,하체,복직근,,코어,복직근,장요근,FIX_CORE_LEG_RAISE,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_f0a63d0f53de5ddf,Machine Side Seated Single Arm Rear Delt Fly,가슴,후면 삼각근,,어깨,후면 삼각근,승모근 / 능형근,FIX_REAR_DELT,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_a100ef0a0119a594,Medicine Ball Throw Squat With Wall,어깨,대퇴사두근,둔근,어깨,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_b4d5046da2dd538d,Opposite Arm And Leg Raise Against Wall,하체,복직근,,하체,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_dcb59c45c8e02f9d,Opposite Leg Raise,하체,복직근,,하체,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_9f5ddaac8ce7e902,Plank Alternate Anti Gravity Pull Up,코어,광배근,이두근 / 승모근,코어,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_a4b94f187844677e,Plank Arm Lifts,등,코어,,등,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_248d4f1c898b4dde,Plank Lateral Raise,코어,측면 삼각근,,코어,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_48c6a8125a174548,Plank Row,코어,등 상부 / 광배근,이두근,코어,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_09568b4a243af38c,Plank Scapular Push Up,등,코어,,등,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_ab1af491a6c6df51,Push Up To Side Plank,가슴,코어,,가슴,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_ca28f3a67306fbf0,Resistance Band Decline Sit Up,하체,복직근,,코어,복직근,장요근,FIX_SIT_UP_CORE,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_70ecc99976f21485,Resistance Band Plank March,하체,코어,,하체,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_9e19d3966fdee91c,Resistance Band Renegade Row,코어,등 상부 / 광배근,이두근,코어,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_df243ddde3b00c35,Resistance Band Reverse Fly Shoulders,가슴,후면 삼각근,,어깨,후면 삼각근,승모근 / 능형근,FIX_REAR_DELT,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_a25626ebbc71f0ab,Resistance Band Seated Bent Over Reverse Fly On A,가슴,후면 삼각근,,어깨,후면 삼각근,승모근 / 능형근,FIX_REAR_DELT,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_d098a2350b09cead,Resistance Band Squat Twist,코어,대퇴사두근,둔근,코어,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_7c899345613f1109,Resistance Band Upright Row (Under Two Feet),어깨,등 상부 / 광배근,이두근,어깨,측면 삼각근 / 승모근,이두근,FIX_UPRIGHT_ROW,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_3d447f5f5e7a030f,Reverse Frog Crunch,하체,복직근,,코어,복직근,장요근,FIX_FROG_CRUNCH,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_f4a7f42d62d6ac1d,Reverse Plank With Leg Lift,하체,코어,,하체,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_d82a734c3239789a,Ring Eccentric Leg Curl With Yoga Block And Towel,팔,햄스트링,,하체,햄스트링,,FIX_LEG_CURL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_be3f86a1fdb52011,Ring Push Up To Side Plank,가슴,코어,,가슴,,,CLEAR_UNSUPPORTED_DETAIL,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_e1095fdf0339d047,Seated Alternate Butterfly Knee Raise,하체,복직근,,코어,복직근,장요근,FIX_CORE_LEG_RAISE,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
gvs_257ed45a08b027cc,Seated Knee Raise On A Stability Ball,하체,복직근,,코어,복직근,장요근,FIX_CORE_LEG_RAISE,Compound/ambiguous movement: preserve source major body part and leave detailed muscles blank rather than inventing a primary muscle.
